word,definition,target 1,target 2,target,triviality_1,triviality_2,triviality,nontrivial,body_parts,misleading,lol,animals,people,places
mastiff,"A breed of large dogs noted for strength and courage. There are various strains, differing in form and color, and characteristic of different countries. Mastiff bat (Zoöl.) , any bat of the genus Molossus; so called because the face somewhat resembles that of a mastiff.",different countries,,different countries,29,100,29,True,False,False,False,False,False,False
hederal,Of or pertaining to ivy.,ivy,,ivy,0,100,0,True,False,False,False,False,False,False
orthographical,"1. Of or pertaining to orthography, or right spelling; also, correct in spelling; as, orthographical rules; the letter was orthographic. 2. (Geom.)  Of or pertaining to right lines or angles. Orthographic or Orthogonal, projection, that projection which is made by drawing lines, from every point to be projected, perpendicular to the plane of projection. Such a projection of the sphere represents its circles as seen in perspective by an eye supposed to be placed at an infinite distance, the plane of projection passing through the center of the sphere perpendicularly to the line of sight.",orthography,right lines or angles,right lines or angles,91,34,34,True,False,False,False,False,False,False
bibitory,Of or pertaining to drinking or tippling.,drinking or tippling,,drinking or tippling,38,100,38,True,False,False,False,False,False,False
alvine,"Of, from, in, or pertaining to, the belly or the intestines; as, alvine discharges; alvine concretions.",belly or the intestines,,belly or the intestines,50,100,50,True,False,False,False,False,False,False
peripatetic,"1. Walking about; itinerant. 2. Of or pertaining to the philosophy taught by Aristotle (who gave his instructions while walking in the Lyceum at Athens), or to his followers. ""The true peripatetic school."" Howell.

1. One who walks about; a pedestrian; an itinerant. Tatler. 2. A disciple of Aristotle; an Aristotelian.",philosophy taught by Aristotle,,philosophy taught by Aristotle,36,100,36,True,False,False,False,False,False,False
speculative,"1. Given to speculation; contemplative. The mind of man being by nature speculative. Hooker. 2. Involving, or formed by, speculation; ideal; theoretical; not established by demonstration. Cudworth. 3. Of or pertaining to vision; also, prying; inquisitive; curious. [R.] Bacon. 4. Of or pertaining to speculation in land, goods, shares, etc.; as, a speculative dealer or enterprise. The speculative merchant exercises no one regular, established, or well-known branch of business. A. Smith. -- Spec""u*la*tive*ly, adv. -- Spec""u*la*tive*ness, n.",vision,speculation in land,vision,24,82,24,True,False,False,False,False,False,False
linnaean,"Of or pertaining to Linnæus, the celebrated Swedish botanist. Linnaean system (Bot.), the system in which the classes are founded mainly upon the stamens, and the orders upon the pistils; the artificial or sexual system.",Linnæus,,Linnæus,43,100,43,True,False,False,False,False,True,False
midday,"The middle part of the day; noon.

Of or pertaining to noon; meridional; as, the midday sun.",noon,,noon,0,100,0,True,False,False,False,False,False,False
metropolitan,"1. Of or pertaining to the capital or principal city of a country; as, metropolitan luxury. 2. (Eccl.)  Of, pertaining to, or designating, a metropolitan or the presiding bishop of a country or province, his office, or his dignity; as, metropolitan authority. ""Bishops metropolitan."" Sir T. More.

1. The superior or presiding bishop of a country or province. 2. (Lat. Church.)  An archbishop. 3. (Gr. Church)  A bishop whose see is civil metropolis. His rank is intermediate between that of an archbishop and a patriarch. Hook.",capital or principal city of a country,metropolitan or the presiding bishop of a country or province,capital or principal city of a country,42,100,42,True,False,False,False,False,False,False
strigine,Of or pertaining to owls; owl-like.,owls,,owls,17,100,17,True,False,False,False,True,False,False
leporine,"Of or pertaining to a hare; like or characteristic of, a hare.",hare,hare,hare,50,50,50,True,False,False,False,True,False,False
acetic,"(a) Of a pertaining to vinegar; producing vinegar; producing vinegar; as, acetic fermentation. (b) Pertaining to, containing, or derived from, acetyl, as acetic ether, acetic acid. The latter is the acid to which the sour taste of vinegar is due.",vinegar,,vinegar,17,100,17,True,False,False,False,False,False,False
plastic,"1. Having the power to give form or fashion to a mass of matter; as, the plastic hand of the Creator. Prior. See plastic Nature working to his end. Pope. 2. Capable of being molded, formed, or modeled, as clay or plaster; - - used also figuratively; as, the plastic mind of a child. 3. Pertaining or appropriate to, or characteristic of, molding or modeling; produced by, or appearing as if produced by, molding or modeling; -- said of sculpture and the kindred arts, in distinction from painting and the graphic arts. Medallions . . . fraught with the plastic beauty and grace of the palmy days of Italian art. J. S. Harford. Plastic clay (Geol.), one of the beds of the Eocene period; -- so called because used in making pottery. Lyell. -- Plastic element (Physiol.), one that bears within the germs of a higher form. -- Plastic exudation (Med.), an exudation thrown out upon a wounded surface and constituting the material of repair by which the process of healing is effected. -- Plastic foods. (Physiol.) See the second Note under Food. -- Plastic force. (Physiol.) See under Force. -- Plastic operation, an operation in plastic surgery. -- Plastic surgery, that branch of surgery which is concerned with the repair or restoration of lost, injured, or deformed parts of the body.  a substance composed predominantly of a synthetic organic high polymer capable of being cast or molded; many varieties of plastic are used to produce articles of commerce (after 1900). [MW10 gives origin of word as 1905]",molding or modeling,,molding or modeling,29,100,29,True,False,False,False,False,False,False
viminal,Of or pertaining to twigs; consisting of twigs; producing twigs.,twigs,,twigs,20,100,20,True,False,False,False,False,False,False
binaural,"Of or pertaining to, or used by, both ears.",both ears,,both ears,38,100,38,True,True,False,False,False,False,False
toreutic,"In relief; pertaining to sculpture in relief, especially of metal; also, pertaining to chasing such as surface ornamentation in metal.",sculpture in relief,chasing such as surface ornamentation in metal,chasing such as surface ornamentation in metal,50,38,38,True,False,False,False,False,False,False
iatric,"Of or pertaining to medicine, or to medical men.",medicine,,medicine,33,100,33,True,False,False,False,False,False,False
clupeoid,Of or pertaining to the Herring family.,Herring family,,Herring family,18,100,18,True,False,False,False,False,False,False
interlunar,"Belonging or pertaining to the time when the moon, at or near its conjunction with the sun, is invisible. Milton.",time when the moon,,time when the moon,40,100,40,True,False,False,False,False,False,False
glossal,Of or pertaining to the tongue; lingual.,tongue,,tongue,17,100,17,True,True,False,False,False,False,False
noetic,Of or pertaining to the intellect; intellectual. I would employ the word noetic to express all those cognitions which originate in the mind itself. Sir W. Hamilton.,intellect,,intellect,40,100,40,True,False,False,False,False,False,False
hirundine,Like or pertaining to the swallows.,swallows,,swallows,0,100,0,True,False,False,False,False,False,False
numismatical,Of or pertaining to coins; relating to the science of coins or medals.,coins,,coins,40,100,40,True,False,False,False,False,False,False
muraenoid,"Like or pertaining to the genus Muræna, or family Murænidæ.",genus Muræna,,genus Muræna,33,100,33,True,False,False,False,False,False,False
testudinarious,Of or pertaining to the shell of a tortoise; resembling a tortoise shell; having the color or markings of a tortoise shell.,shell of a tortoise,,shell of a tortoise,30,100,30,True,False,False,False,False,False,False
eleventh,"1. Next after the tenth; as, the eleventh chapter. 2. Constituting one of eleven parts into which a thing is divided; as, the eleventh part of a thing. 3. (Mus.)  Of or pertaining to the interval of the octave and the fourth.

1. The quotient of a unit divided by eleven; one of eleven equal parts. 2. (Mus.)  The interval consisting of ten conjunct degrees; the interval made up of an octave and a fourth.",interval of the octave and the fourth,,interval of the octave and the fourth,38,100,38,True,False,False,False,False,False,False
gnathic,"Of or pertaining to the jaw. Gnathic index, in a skull, the ratio of the distance from the middle of the nasofrontal suture to the basion (taken equal to 100), to the distance from the basion to the middle of the front edge of the upper jaw; -- called also alveolar index. Skulls with the gnathic index below 98 are orthognathous, from 98 to 103 mesognathous, and above 103 are prognathous. Flower.",jaw,,jaw,33,100,33,True,False,False,False,False,False,False
palpebral,Of or pertaining to the eyelids.,eyelids,,eyelids,29,100,29,True,True,False,False,False,False,False
nilotic,"Of or pertaining to the river Nile; as, the Nilotic crocodile.",river Nile,,river Nile,29,100,29,True,False,False,False,False,False,False
arundinaceous,Of or pertaining to a reed; resembling the reed or cane.,reed,,reed,50,100,50,True,False,False,False,False,False,False
turbinaceous,"Of or pertaining to peat, or turf; of the nature of peat, or turf; peaty; turfy. Sir. W. Scott.",peat,,peat,25,100,25,True,False,False,False,False,False,False
