word,target 1,target 2,target,triviality_1,triviality_2,triviality
anoetic,"""fringe"" or ""margin"" of consciousness",,"""fringe"" or ""margin"" of consciousness",29,100,29
wernerian,A,,A,0,100,0
tennysonian,Alfred,,Alfred,12,100,12
alpen,Alps,,Alps,50,100,50
alpine,Alps,,Alps,50,100,50
mayan,American Indian linguistic stock occupying the Mexican States of Veracruz,Mayas,American Indian linguistic stock occupying the Mexican States of Veracruz,40,60,40
anglian,Angles,,Angles,50,100,50
angevine,Anjou in France,,Anjou in France,38,100,38
appian,Appius,,Appius,50,100,50
arthrozoic,Articulata,,Articulata,40,100,40
artesian,Artois,,Artois,50,100,50
asiatic,Asia or to its inhabitants,,Asia or to its inhabitants,43,100,43
attic,Attica,Athenians,Athenians,80,29,29
augean,Augeus,,Augeus,50,100,50
azorian,Azores,,Azores,50,100,50
brahmin-ical,Brahmans or to their doctrines and worship,,Brahmans or to their doctrines and worship,42,100,42
burmese,Burmah,,Burmah,50,100,50
cadmean,Cadmus,,Cadmus,50,100,50
canonship,Canopus in egypt,,Canopus in egypt,56,100,56
productus,Carboniferous rocks,,Carboniferous rocks,44,100,44
erse,Celtic race in the Highlands of Scotland,,Celtic race in the Highlands of Scotland,25,100,25
sinic,Chinese and allied races,,Chinese and allied races,40,100,40
chian,Chios,,Chios,40,100,40
papistical,Church of Rome and its doctrines and ceremonies,popery,Church of Rome and its doctrines and ceremonies,30,33,30
cornish,Cornwall,,Cornwall,43,100,43
inoceramus,Cretaceous period,,Cretaceous period,40,100,40
ventriculite,Cretaceous period,,Cretaceous period,42,100,42
rudistes,Cretaceous period,,Cretaceous period,38,100,38
caesarian,Cæsar or the Cæsars,,Cæsar or the Cæsars,44,100,44
caesarean,Cæsar or the Cæsars,,Cæsar or the Cæsars,44,100,44
pythian,Delphi,,Delphi,50,100,50
devonian,Devon or Devonshire in England,,Devon or Devonshire in England,50,100,50
johnsonianism,Dr,,Dr,0,100,0
paleogaean,Eastern hemisphere,,Eastern hemisphere,30,100,30
english,England,,England,43,100,43
anglican,England or the English nation,established church of England,England or the English nation,50,62,50
anglo-,English and Americans,English and Danes,English and Danes,50,50,50
smithsonian,Englishman J,,Englishman J,38,100,38
prescription,Englishmen,,Englishmen,20,100,20
patristical,Fathers of the Christian church,,Fathers of the Christian church,55,100,55
fijian,Fiji islands or their inhabitants,,Fiji islands or their inhabitants,50,100,50
finnish,Finland,,Finland,43,100,43
french,France or its inhabitants,,France or its inhabitants,50,100,50
gallican,Gaul or France,,Gaul or France,36,100,36
priest,God,,God,0,100,0
britannic,Great Britain,,Great Britain,56,100,56
grecian,Greece,,Greece,50,100,50
larine,Gull family,,Gull family,35,100,35
hebraic,Hebrews,,Hebrews,43,100,43
hermetic,Hermes Trismegistus,system which explains the causes of diseases and the operations of medicine on the principles of the hermetic philosophy,Hermes Trismegistus,50,62,50
clupeoid,Herring family,,Herring family,18,100,18
hindustani,Hindoos or their language,,Hindoos or their language,40,100,40
caprifoliaceous,Honeysuckle family of plants,,Honeysuckle family of plants,40,100,40
horatian,Horace,,Horace,50,100,50
hungarian,Hungary or to the people of Hungary,,Hungary or to the people of Hungary,56,100,56
kantian,Immanuel Kant,,Immanuel Kant,43,100,43
irish,Ireland or to its inhabitants,,Ireland or to its inhabitants,40,100,40
jacobinical,Jacobins of France,,Jacobins of France,55,100,55
japonism,Japanese or their products,,Japanese or their products,50,100,50
sephardic,Jews,,Jews,25,100,25
judaical,Jews,,Jews,0,100,0
judaic,Jews,,Jews,0,100,0
jewish,Jews or Hebrews,Jews or their customs,Jews or their customs,50,50,50
muellerian,Johannes Müller,,Johannes Müller,50,100,50
mullerian,Johannes Müller,,Johannes Müller,44,100,44
johannean,John,,John,50,100,50
jovian,Jove,,Jove,50,100,50
arthurian,King Arthur or his knights,,King Arthur or his knights,56,100,56
